Token Name,Type,Total SOL Balance,Total USD Investment,Total Token Balance,Profit (SOL),Profit (USD), ROI
r/snoofi,Buy,102.61731456,14208.60063057,5258600.18106200,,,
r/snoofi,Sell,20.00000000,2769.24039408,5258600.18106200,,,
r/snoofi,Profit,-82.61731456,-11439.36023649,,-82.61731456,-11439.36023649,-80.51 %
COCKE,Buy,0.30160036,41.76019540,4638245.91338100,,,
COCKE,Sell,2.00000000,276.92403941,4638245.91338100,,,
COCKE,Profit,1.69839964,235.16384400,,1.69839964,235.16384400,563.13 %
chuchu,Buy,2.30271506,318.83857746,20261464.84588600,,,
chuchu,Sell,5.00000000,692.31009852,9737566.45315400,,,
chuchu,Profit,2.69728494,373.47152106,,2.69728494,373.47152106,117.13 %
Paws,Buy,0.29168035,40.38665078,3486085.82165100,,,
Paws,Sell,2.00000000,276.92403941,3486085.82165100,,,
Paws,Profit,1.70831965,236.53738862,,1.70831965,236.53738862,585.68 %
Freow,Buy,1.03064088,142.70461811,7774978.21724500,,,
Freow,Sell,0.00000000,0.00000000,0.00000000,,,
Freow,Profit,-1.03064088,-142.70461811,,-1.03064088,-142.70461811,-100.00 %
CHECKMATE,Buy,0.45465430,62.95235278,9370713.64398300,,,
CHECKMATE,Sell,0.00000000,0.00000000,0.00000000,,,
CHECKMATE,Profit,-0.45465430,-62.95235278,,-0.45465430,-62.95235278,-100.00 %
DEMURE,Buy,4.82590984,668.20522377,2199424.35345700,,,
DEMURE,Sell,3.00000000,415.38605911,2199424.35345700,,,
DEMURE,Profit,-1.82590984,-252.81916466,,-1.82590984,-252.81916466,-37.84 %
MULL,Buy,12.55785880,1738.78649205,20995357.92634700,,,
MULL,Sell,35.00000000,4846.17068964,20995357.92634700,,,
MULL,Profit,22.44214120,3107.38419759,,22.44214120,3107.38419759,178.71 %
RDT,Buy,32.07892376,4441.71257443,3963925.75430900,,,
RDT,Sell,5.00000000,692.31009852,3963925.75430900,,,
RDT,Profit,-27.07892376,-3749.40247591,,-27.07892376,-3749.40247591,-84.41 %
LILLIE,Buy,0.98564523,136.47442870,9805183.46935900,,,
LILLIE,Sell,2.00000000,276.92403941,9805183.46935900,,,
LILLIE,Profit,1.01435477,140.44961070,,1.01435477,140.44961070,102.91 %
SURE,Buy,1.51158725,209.29742332,1989637.61907600,,,
SURE,Sell,2.00000000,276.92403941,1989637.61907600,,,
SURE,Profit,0.48841275,67.62661609,,0.48841275,67.62661609,32.31 %
Yeah,Buy,9.49000043,1314.00462653,1056521.45952700,,,
Yeah,Sell,10.00000000,1384.62019704,1056521.45952700,,,
Yeah,Profit,0.50999957,70.61557051,,0.50999957,70.61557051,5.37 %
APPIE,Buy,8.96614855,1241.47103692,2591815.40318800,,,
APPIE,Sell,15.00000000,2076.93029556,2591815.40318800,,,
APPIE,Profit,6.03385145,835.45925864,,6.03385145,835.45925864,67.30 %
shleep,Buy,0.46663693,64.61149193,11518715.40123900,,,
shleep,Sell,1.00000000,138.46201970,11518715.40123900,,,
shleep,Profit,0.53336307,73.85052777,,0.53336307,73.85052777,114.30 %
Mully,Buy,3.76441144,521.22801153,6028744.82876600,,,
Mully,Sell,10.00000000,1384.62019704,6028744.82876600,,,
Mully,Profit,6.23558856,863.39218551,,6.23558856,863.39218551,165.65 %
Bibble,Buy,25.88166587,3583.62773021,11481184.98204900,,,
Bibble,Sell,10.00000000,1384.62019704,11481184.98204900,,,
Bibble,Profit,-15.88166587,-2199.00753318,,-15.88166587,-2199.00753318,-61.36 %
DOGTOR,Buy,0.36790585,50.94098677,6747180.84892000,,,
DOGTOR,Sell,5.00000000,692.31009852,6747180.84892000,,,
DOGTOR,Profit,4.63209415,641.36911174,,4.63209415,641.36911174,1259.04 %
TAPEPE,Buy,0.57975367,80.27386366,6485048.87649200,,,
TAPEPE,Sell,0.00000000,0.00000000,0.00000000,,,
TAPEPE,Profit,-0.57975367,-80.27386366,,-0.57975367,-80.27386366,-100.00 %
‎,Buy,2.37340236,328.62608364,3537897.16959000,,,
‎,Sell,10.00000000,1384.62019704,3537897.16959000,,,
‎,Profit,7.62659765,1055.99411340,,7.62659765,1055.99411340,321.34 %
PARTY,Buy,0.26889336,37.23151799,3303021.17797900,,,
PARTY,Sell,3.00000000,415.38605911,3303021.17797900,,,
PARTY,Profit,2.73110664,378.15454112,,2.73110664,378.15454112,1015.68 %
TRUST,Buy,4.23309784,586.12327681,2557629.73115700,,,
TRUST,Sell,20.00000000,2769.24039408,2557629.73115700,,,
TRUST,Profit,15.76690216,2183.11711727,,15.76690216,2183.11711727,372.47 %
HAMMER,Buy,0.11641700,16.11933350,2812380.78813800,,,
HAMMER,Sell,3.00000000,415.38605911,2812380.78813800,,,
HAMMER,Profit,2.88358300,399.26672561,,2.88358300,399.26672561,2476.94 %
SCAT,Buy,1.04077502,144.10781091,175184.36513700,,,
SCAT,Sell,0.00000000,0.00000000,0.00000000,,,
SCAT,Profit,-1.04077502,-144.10781091,,-1.04077502,-144.10781091,-100.00 %
mousi,Buy,2.31862086,321.04092679,4393703.33574100,,,
mousi,Sell,5.00000000,692.31009852,4393703.33574100,,,
mousi,Profit,2.68137914,371.26917173,,2.68137914,371.26917173,115.65 %
hamster,Buy,10.61142329,1469.27910039,3011025.39488700,,,
hamster,Sell,5.00000000,692.31009852,3011025.39488700,,,
hamster,Profit,-5.61142329,-776.96900187,,-5.61142329,-776.96900187,-52.88 %
COOPER,Buy,1.68545106,233.37095843,10217240.34679600,,,
COOPER,Sell,8.00000000,1107.69615763,10217240.34679600,,,
COOPER,Profit,6.31454894,874.32519920,,6.31454894,874.32519920,374.65 %
NINJA,Buy,0.29747695,41.18925876,3150135.60701700,,,
NINJA,Sell,2.00000000,276.92403941,3150135.60701700,,,
NINJA,Profit,1.70252305,235.73478065,,1.70252305,235.73478065,572.32 %
NEWCAR,Buy,0.42895656,59.39419208,2290240.64710200,,,
NEWCAR,Sell,2.00000000,276.92403941,2290240.64710200,,,
NEWCAR,Profit,1.57104344,217.52984733,,1.57104344,217.52984733,366.25 %
gdog,Buy,0.14843740,20.55294220,4690334.30040600,,,
gdog,Sell,5.00000000,692.31009852,4690334.30040600,,,
gdog,Profit,4.85156260,671.75715632,,4.85156260,671.75715632,3268.42 %
neo,Buy,2.07271827,286.99275766,675112.61327400,,,
neo,Sell,0.00000000,0.00000000,0.00000000,,,
neo,Profit,-2.07271827,-286.99275766,,-2.07271827,-286.99275766,-100.00 %
CFSM,Buy,5.45323258,755.06559722,1984067.16257900,,,
CFSM,Sell,0.00000000,0.00000000,0.00000000,,,
CFSM,Profit,-5.45323258,-755.06559722,,-5.45323258,-755.06559722,-100.00 %
FUKU,Buy,5.20684427,720.95017391,2801747.82002800,,,
FUKU,Sell,10.00000000,1384.62019704,2801747.82002800,,,
FUKU,Profit,4.79315573,663.67002313,,4.79315573,663.67002313,92.05 %
Spurdo,Buy,2.16664869,299.99855402,7225843.82562500,,,
Spurdo,Sell,10.00000000,1384.62019704,7225843.82562500,,,
Spurdo,Profit,7.83335131,1084.62164302,,7.83335131,1084.62164302,361.54 %
Win Rate,,,,,,19 / 33,57.58%
Total Invested,,,,,,,34185.92 USD
Total Return,,,,,,,-5108.90 USD